"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Mon Jan 08 20:11:16 GMT 2024","Mon Jan 08 20:11:16 GMT 2024","2","Surefire suite","Surefire test","com.example.testng.StepTest","com.example.testng.StepTest","annotatedStepTest","annotatedStepTest",""
"passed","Mon Jan 08 20:11:16 GMT 2024","Mon Jan 08 20:11:16 GMT 2024","11","Surefire suite","Surefire test","com.example.testng.StepTest","com.example.testng.StepTest","lambdaStepTest","lambdaStepTest",""
